date,location,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
11/26/21,Alabama,AL,,,,,,,,,,13342,2721,
11/27/21,Alabama,AL,,,,,,,,,,10664,2175,
11/28/21,Alabama,AL,,,,,,,,,,10771,2197,
11/29/21,Alabama,AL,5229021,7802940,2767489,46.14,106.65,2262464,56.44,159.14,,10573,2156,0.67
11/30/21,Alabama,AL,5242493,7834540,2772024,46.18,106.92,2264466,56.54,159.78,13472,10309,2103,0.669
12/1/21,Alabama,AL,5259251,7870000,2776759,46.23,107.26,2266861,56.63,160.51,16758,9745,1987,0.668
12/2/21,Alabama,AL,5269173,7880350,2780216,46.27,107.46,2268570,56.7,160.72,9922,10077,2055,0.669
11/26/21,Alaska,AK,,,,,,,,,,1905,2604,
11/27/21,Alaska,AK,,,,,,,,,,1573,2150,
11/28/21,Alaska,AK,,,,,,,,,,1650,2256,
11/29/21,Alaska,AK,949474,1269085,456888,54.07,129.79,395581,62.46,173.48,,1736,2373,0.748
11/30/21,Alaska,AK,957508,1272385,459412,54.23,130.89,396688,62.8,173.93,8034,1933,2642,0.753
12/1/21,Alaska,AK,959867,1275585,460421,54.28,131.21,397095,62.94,174.37,2359,1977,2702,0.752
12/2/21,Alaska,AK,963790,1281415,461561,54.42,131.75,398122,63.09,175.17,3923,2439,3334,0.752
11/26/21,American Samoa,,,,,,,,,,,96,2026,
11/27/21,American Samoa,,,,,,,,,,,100,2110,
11/28/21,American Samoa,,,,,,,,,,,104,2194,
11/29/21,American Samoa,,67693,75120,35553,66.19,142.84,31367,75.02,158.51,,108,2279,0.901
11/30/21,American Samoa,,67867,75120,35585,66.25,143.2,31395,75.09,158.51,174,45,950,0.903
12/1/21,American Samoa,,67867,75120,35585,66.25,143.2,31395,75.09,158.51,0,45,950,0.903
12/2/21,American Samoa,,67867,75120,35585,66.25,143.2,31395,75.09,158.51,0,41,865,0.903
11/26/21,Arizona,AZ,,,,,,,,,,28006,3848,
11/27/21,Arizona,AZ,,,,,,,,,,26441,3633,
11/28/21,Arizona,AZ,,,,,,,,,,24474,3362,
11/29/21,Arizona,AZ,9580846,11680640,4676063,54.64,131.63,3977260,64.24,160.48,,23681,3253,0.82
11/30/21,Arizona,AZ,9594424,11729770,4680309,54.67,131.81,3979250,64.3,161.15,13578,23329,3205,0.818
12/1/21,Arizona,AZ,9621636,11802250,4688276,54.73,132.19,3983477,64.41,162.15,27212,23341,3207,0.815
12/2/21,Arizona,AZ,9670070,11857580,4701227,54.9,132.85,3995852,64.59,162.91,48434,26757,3676,0.816
11/26/21,Arkansas,AR,,,,,,,,,,7724,2559,
11/27/21,Arkansas,AR,,,,,,,,,,5353,1774,
11/28/21,Arkansas,AR,,,,,,,,,,6615,2192,
11/29/21,Arkansas,AR,3521460,4839070,1823691,49.3,116.69,1487634,60.43,160.35,,7087,2348,0.728
11/30/21,Arkansas,AR,3524081,4857070,1824522,49.32,116.78,1488357,60.46,160.95,2621,7058,2339,0.726
12/1/21,Arkansas,AR,3537301,4868170,1828640,49.4,117.21,1490934,60.6,161.31,13220,8906,2951,0.727
12/2/21,Arkansas,AR,3549259,4871540,1831342,49.5,117.61,1493672,60.68,161.43,11958,9285,3077,0.729
11/26/21,Bureau of Prisons,,,,,,,,,,,640,,
11/27/21,Bureau of Prisons,,,,,,,,,,,290,,
11/28/21,Bureau of Prisons,,,,,,,,,,,328,,
11/29/21,Bureau of Prisons,,257747,286440,130953,,,125537,,,,367,,0.9
11/30/21,Bureau of Prisons,,257830,286440,130970,,,125552,,,83,226,,0.9
12/1/21,Bureau of Prisons,,257965,288140,130991,,,125568,,,135,224,,0.895
12/2/21,Bureau of Prisons,,258131,290320,131018,,,125587,,,166,209,,0.889
11/26/21,California,CA,,,,,,,,,,178378,4515,
11/27/21,California,CA,,,,,,,,,,168382,4262,
11/28/21,California,CA,,,,,,,,,,154458,3909,
11/29/21,California,CA,59522458,70222965,31128095,63.12,150.64,24940240,78.78,177.72,,152425,3858,0.848
11/30/21,California,CA,59597608,70629795,31147534,63.17,150.83,24958124,78.83,178.75,75150,150461,3808,0.844
12/1/21,California,CA,59768100,70974175,31186136,63.27,151.26,25000226,78.93,179.63,170492,150443,3808,0.842
12/2/21,California,CA,60030910,71231045,31255707,63.42,151.93,25059980,79.1,180.28,262810,164917,4174,0.843
11/26/21,Colorado,CO,,,,,,,,,,29577,5136,
11/27/21,Colorado,CO,,,,,,,,,,26592,4618,
11/28/21,Colorado,CO,,,,,,,,,,21753,3777,
11/29/21,Colorado,CO,8594706,10087265,4110350,63.16,149.25,3637400,71.38,175.16,,22845,3967,0.852
11/30/21,Colorado,CO,8613796,10151485,4116507,63.25,149.58,3642399,71.48,176.28,19090,25554,4437,0.849
12/1/21,Colorado,CO,8643268,10201995,4122812,63.35,150.09,3648172,71.59,177.16,29472,22156,3847,0.847
12/2/21,Colorado,CO,8678461,10264195,4129805,63.47,150.7,3655321,71.71,178.24,35193,24140,4192,0.846
11/26/21,Connecticut,CT,,,,,,,,,,19417,5446,
11/27/21,Connecticut,CT,,,,,,,,,,18030,5057,
11/28/21,Connecticut,CT,,,,,,,,,,16112,4519,
11/29/21,Connecticut,CT,5970563,6789385,2991370,71.89,167.46,2563141,83.9,190.43,,14669,4114,0.879
11/30/21,Connecticut,CT,5997289,6803905,2997942,72,168.21,2567127,84.09,190.84,26726,16742,4696,0.881
12/1/21,Connecticut,CT,6014388,6838345,3002837,72.08,168.69,2569921,84.22,191.8,17099,16620,4662,0.88
12/2/21,Connecticut,CT,6036671,6884475,3008454,72.19,169.32,2573654,84.38,193.1,22283,17732,4974,0.877
11/26/21,Delaware,DE,,,,,,,,,,141,145,
11/27/21,Delaware,DE,,,,,,,,,,127,130,
11/28/21,Delaware,DE,,,,,,,,,,113,116,
11/29/21,Delaware,DE,1387562,1847815,695704,60.95,142.49,593485,71.44,189.76,,98,101,0.751
11/30/21,Delaware,DE,1446819,1859875,711525,61.6,148.58,599832,73.07,191,59257,8539,8769,0.778
12/1/21,Delaware,DE,1446917,1865905,711684,61.61,148.59,599899,73.09,191.62,98,8529,8759,0.775
12/2/21,Delaware,DE,1455576,1876175,713938,61.78,149.48,601627,73.32,192.67,8659,9756,10019,0.776
11/26/21,Dept of Defense,,,,,,,,,,,8790,,
11/27/21,Dept of Defense,,,,,,,,,,,7798,,
11/28/21,Dept of Defense,,,,,,,,,,,6894,,
11/29/21,Dept of Defense,,6577324,5819540,3620035,,,2773751,,,,6787,,1.13
11/30/21,Dept of Defense,,6577775,5823640,3620292,,,2773956,,,451,6179,,1.129
12/1/21,Dept of Defense,,6587480,5826940,3625755,,,2778401,,,9705,5845,,1.131
12/2/21,Dept of Defense,,6600421,5859250,3634206,,,2783398,,,12941,6815,,1.126
11/26/21,District of Columbia,DC,,,,,,,,,,3172,4495,
11/27/21,District of Columbia,DC,,,,,,,,,,2823,4000,
11/28/21,District of Columbia,DC,,,,,,,,,,2602,3687,
11/29/21,District of Columbia,DC,1165383,1449415,574924,64.44,165.13,454755,81.46,205.37,,2359,3343,0.804
11/30/21,District of Columbia,DC,1165881,1459235,575893,64.52,165.2,455349,81.6,206.76,498,2087,2957,0.799
12/1/21,District of Columbia,DC,1168032,1466985,577003,64.63,165.5,456118,81.76,207.86,2151,1937,2745,0.796
12/2/21,District of Columbia,DC,1169902,1473645,578211,64.73,165.77,456802,81.93,208.81,1870,1893,2682,0.794
11/26/21,Federated States of Micronesia,,,,,,,,,,,98,958,
11/27/21,Federated States of Micronesia,,,,,,,,,,,98,958,
11/28/21,Federated States of Micronesia,,,,,,,,,,,98,958,
11/29/21,Federated States of Micronesia,,79401,104820,47614,41.17,77.6,42130,46.53,102.44,,98,958,0.757
11/30/21,Federated States of Micronesia,,80049,104820,47742,41.5,78.23,42464,46.66,102.44,648,191,1867,0.764
12/1/21,Federated States of Micronesia,,80049,104820,47742,41.5,78.23,42464,46.66,102.44,0,93,909,0.764
12/2/21,Federated States of Micronesia,,80049,104820,47744,41.5,78.23,42465,46.66,102.44,0,93,909,0.764
11/26/21,Florida,FL,,,,,,,,,,79832,3717,
11/27/21,Florida,FL,,,,,,,,,,79228,3689,
11/28/21,Florida,FL,,,,,,,,,,78311,3646,
11/29/21,Florida,FL,30898413,38410545,15412472,61.33,143.86,13172459,71.76,178.84,,77934,3629,0.804
11/30/21,Florida,FL,30948643,38559025,15422450,61.39,144.1,13184332,71.81,179.53,50230,75471,3514,0.803
12/1/21,Florida,FL,31017086,38730695,15437535,61.45,144.42,13198826,71.88,180.33,68443,73626,3428,0.801
12/2/21,Florida,FL,31170744,38857805,15468294,61.59,145.13,13227652,72.02,180.92,153658,84242,3922,0.802
11/26/21,Georgia,GA,,,,,,,,,,28727,2706,
11/27/21,Georgia,GA,,,,,,,,,,20732,1953,
11/28/21,Georgia,GA,,,,,,,,,,23497,2213,
11/29/21,Georgia,GA,,,,,,,,,,26380,2485,
11/30/21,Georgia,GA,,,,,,,,,,20295,1911,
12/1/21,Georgia,GA,,,,,,,,,,20295,1911,
12/2/21,Georgia,GA,,,,,,,,,,20295,1911,
11/26/21,Guam,GU,,,,,,,,,,867,5146,
11/27/21,Guam,GU,,,,,,,,,,737,4374,
11/28/21,Guam,GU,,,,,,,,,,782,4641,
